구분,용어,개념
236,채무자,채무를 변제할 의무가 있거나 채권추심자로부터 채무를 변제할 의무가 있는 것으로 주장되는 자연인(보증인을 포함)
237,청구인,법원이나 행정기관에 특정한 권리나 이익을 주장하거나 요청하는 당사자
238,청구인(반심청구인),반심을 청구한 자
239,청구인(반심판피청구인),반심피청구인과 동의어
240,청구인(반심피청구인),반심에 대해 방어해야하는 자
241,청구인(본심판상대방),본심에서는 청구받은 상대방이지만 상고를 청구한 자
242,청구인(재심판청구인),원심에 불복해 오류를 바로잡고 공정한 판단을 받을 수 있게 다시 심리를 요청하는 자
243,청구인(재심피청구인),재심판청구인과 유사한 의미
244,최고가매수신고인,경매에서 값을 제일 많이 부르는 사람
245,출원인,"특허출원, 실용신안등록출원, 상표등록출원, 디자인등록출원 특정한 법적 권리나 혜택을 요청하기 위해 신청서를 제출하는 개인 또는 단체"
246,치료감호1,정신질환 등으로 인해 정상적인 법적 책임을 지기 어려운 상태에서 범죄를 저지른 자에게 보호와 치료를 동시에 제공하는 제도
247,치료감호2,형법 제10조에 따라 심신장애로 인해 범죄를 저지른 사람에게 형벌 대신 치료와 보호를 제공하는 제도
248,치료감호대상자,치료감호시설에서 치료를 받을 필요가 있고 재범의 위험성이 있는 자
