판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,판례상세링크
234907,근저당권말소,2020가단5011943,2020.09.25,서울중앙지방법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=234907&type=HTML&mobileYn=
214613,사업정지처분취소,2020누37033,2020.09.25,서울고등법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214613&type=HTML&mobileYn=
226567,해고무효확인,2020나2002012,2020.09.25,서울고등법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=226567&type=HTML&mobileYn=
214913,전자금융거래법위반,2020도8594,2020.09.24,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214913&type=HTML&mobileYn=
212869,보상금증액등,2018두54507,2020.09.24,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212869&type=HTML&mobileYn=
212689,업무방해[사립학교에 대한 봉사활동확인서 허위제출행위에 관하여 업무방해죄로 기소된 사건],2017도19283,2020.09.24,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212689&type=HTML&mobileYn=
231891,토지인도·소유권이전등기,2019가단23049,2020.09.24,청주지방법원충주지원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=231891&type=HTML&mobileYn=
212697,뇌물공여·뇌물수수[뇌물공여자가 택배를 이용하여 뇌물수수자의 명의로 지인에게 선물발송한 행위에 관하여 단순뇌물죄로 기소된 사건],2017도12389,2020.09.24,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212697&type=HTML&mobileYn=
212867,구상금,2020다229260,2020.09.24,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212867&type=HTML&mobileYn=
214909,문화재수리등에관한법률위반,2017도5986,2020.09.24,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214909&type=HTML&mobileYn=
217145,정치자금법위반,2020노395,2020.09.24,서울남부지방법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=217145&type=HTML&mobileYn=
214911,아동ㆍ청소년의성보호에관한법률위반(강제추행),2020도7869,2020.09.24,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214911&type=HTML&mobileYn=
214377,문화재수리등에관한법률위반,2016도17349,2020.09.24,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214377&type=HTML&mobileYn=
226561,주차권존재확인등의소,2019나13707,2020.09.24,부산고등법원창원재판부,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=226561&type=HTML&mobileYn=
