판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,판례상세링크
110038,취득세부과처분취소,92누19279,1994.03.25,대법원,세무,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110038&type=HTML&mobileYn=
110042,부가가치세등부과처분취소,93누14417,1994.03.25,대법원,세무,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110042&type=HTML&mobileYn=
110008,공사대금,93다42887,1994.03.25,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110008&type=HTML&mobileYn=
223113,소유권이전등기청구사건,92가합9805,1994.03.25,서울지방법원동부지원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=223113&type=HTML&mobileYn=
110030,개발부담금부과처분취소,93누19542,1994.03.25,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110030&type=HTML&mobileYn=
200326,토지초과이득세부과처분취소,93누17591,1994.03.25,대법원,세무,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200326&type=HTML&mobileYn=
200327,임금등,93다32668,1994.03.25,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200327&type=HTML&mobileYn=
110003,해고무효확인등,93다30242,1994.03.25,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110003&type=HTML&mobileYn=
200323,소유권이전등기,93다57155,1994.03.25,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200323&type=HTML&mobileYn=
199821,택지초과소유부담금부과처분취소,93누16888,1994.03.25,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=199821&type=HTML&mobileYn=
200321,보상금,93다45701,1994.03.25,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200321&type=HTML&mobileYn=
200330,권리범위확인,92후2182,1994.03.25,대법원,특허,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200330&type=HTML&mobileYn=
200329,"근저당권설정등기말소,대여금",93다36097,1994.03.25,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200329&type=HTML&mobileYn=
